Status,Family size,AMI,Race,Gender,Monthly Rent,Back Rent Claimed,zip,Council District
Tenant Application Received,1,30,Black,Female,"$1,400.00","$9,800.00",90002,15
Tenant Approved: Landlord Final Notification to Respond,4,30,Hispanic,Male,$900.00,"$4,500.00",90007,8
Tenant Application Received,1,30,Hispanic,Female,"$2,500.00","$17,500.00",90022, 
Tenant Application Received,3,30,White,Male,"$2,700.00","$18,300.00",91401,4
Application on Hold,4,30,Asian,Female,"$1,959.17","$3,627.22",90036,5
Tenant Application Received,1,30,Black,Female,"$2,250.00","$47,250.00",90002,9
Tenant Application Received,6,30,Hispanic,Female,"$2,088.00","$24,936.00",90011,9
Closed Ineligible,3,30,Hispanic,Male,"$1,950.00","$15,250.00",90255, 
Tenant Application Received,3,30,Black,Female,"$2,900.00","$11,520.00",90003,9
Application on Hold,4,30,Asian,Male,"$1,995.00","$9,975.00",90004,13
Tenant Approved: Landlord Final Notification to Respond,2,30,White,Male,"$3,400.00","$6,146.11",91406,6
Tenant Application Received,2,30,Black,Female,"$1,698.00","$10,938.74",91405,2
Application on Hold,2,30,Black,Female,"$1,600.00","$6,400.00",90047,8
Tenant Application Received,1,30,Black,Male,"$4,522.00","$36,176.00",90017,14
Tenant Approved: Landlord Final Notification to Respond,2,30,Black,Female,$901.00,"$2,703.00",90043,8
Tenant Pending Final Submission of Documents,2,30,Other,Male,"$2,000.00","$8,000.00",90006,1
Closed Ineligible,3,30,Hispanic,Female,"$2,200.00","$19,800.00",90201, 
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$1,000.00","$6,000.00",90043,8
Tenant Application Received,3,30,Hispanic,Female,"$1,607.00","$11,764.00",90732,15
Tenant Approved: Closed Landlord Paid,1,30,Hispanic,Female,"$1,000.00","$3,000.00",90018,10
Tenant Application Received,2,30,White,Female,"$5,500.00","$44,000.00",91605,2
Tenant Application Received,1,30,Other,Female,"$1,800.00","$16,200.00",90003,9
Tenant Approved: Closed Landlord Paid,4,30,Hispanic,Female,$900.00,"$5,400.00",90011,9
Tenant Application Received,8+,30,Hispanic,Male,$783.00,"$13,311.00",90007,1
Closed Ineligible,3,30,Black,Female,"$2,595.00","$10,455.00",90504, 
Tenant Approved: Landlord Final Notification to Respond,2,30,Black,Female,$222.00,$221.00,90015,1
Closed Ineligible,1,30,Black,Female,"$1,578.22","$1,578.22",90019,10
Tenant Application Received,1,30,Black,Male,"$1,000.00","$9,900.00",90061, 
Tenant Application Received,1,30,White,Male,"$3,432.00","$30,888.00",90291,11
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Asian,Male,"$1,800.00","$2,665.60",90020,13
Tenant Eligibility Under Review,2,30,White,Male,"$2,500.00","$20,000.00",91040,7
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Female,"$3,072.00","$12,289.20",90012,14
Tenant Application Received,4,30,Black,Female,"$2,800.00","$19,600.00",90008,10
Tenant Application Received,4,30,Hispanic,Female,"$1,336.00","$4,500.00",90026,13
Tenant Pending Final Submission of Documents,3,30,White,Male,"$5,525.00","$49,725.00",90068,4
Tenant Pending Final Submission of Documents,2,30,White,Male,"$1,222.00","$32,450.00",91605,2
Closed Ineligible,1,30,Hispanic,Female,"$1,950.00","$1,950.00",91501, 
Closed Ineligible,1,30,White,Female,"$3,200.00","$25,600.00",91205, 
Tenant Approved: Closed Landlord Paid,3,30,Black,Female,"$1,129.00","$3,972.94",91303,3
Tenant Approved: Closed Landlord Paid,4,30,Black,Female,"$2,195.00","$11,304.00",91325,12
Tenant Pending Final Submission of Documents,1,30,White,Female,"$1,310.00","$40,610.00",91401,2
Tenant Application Received,5,30,Other,Male,"$3,500.00","$24,500.00",90035,5
Tenant Application Received,1,30,Black,Male,"$1,500.00","$9,000.00",90008,8
Tenant Application Received,2,30,White,Male,"$3,400.00","$27,200.00",91401,2
Application on Hold,1,30,Black,Female,"$2,250.00","$2,250.00",90038,13
Tenant Application Received,1,30,White,Male,"$3,200.00","$83,200.00",90061,15
Application on Hold,1,30,Black,Male,"$2,395.00","$2,900.00",90005,10
Tenant Application Received,2,30,Other,Female,"$2,121.00","$13,982.01",90036,5
Tenant Pending Final Submission of Documents,1,30,Black,Female,$840.00,"$1,680.00",90052,8
Tenant Application Received,5,50,Black,Male,"$5,995.00","$10,229.15",91405,6
Closed Ineligible,5,30,White,Female,"$2,850.00","$2,850.00",91501, 
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,495.00","$4,650.00",90004,10
Tenant Application Received,2,30,Black,Female,"$1,404.00","$12,636.00",90008,10
Tenant Pending Final Submission of Documents,3,30,White,Female,"$2,195.00","$8,780.00",90028,13
Application on Hold,3,30,White,Male,"$4,200.00","$25,200.00",91601,2
Tenant Application Received,2,30,White,Female,"$1,200.00","$30,528.00",91605,2
Tenant Application Received,3,30,Black,Female,"$2,510.00","$30,120.00",90046,13
Application on Hold,1,30,Black,Female,"$2,200.00","$22,000.00",90061,15
