Status,Family size,AMI,Race,Gender,Monthly Rent,Back Rent Claimed,zip,Council District
Tenant Application Received,1,30,White,Male,2500,20000,91606,2
Tenant Application Received,2,30,Black,Male,1721.33,19483.82,91601,2
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,2250,7900,90059,15
Tenant Pending Final Submission of Documents,1,30,Black,Male,1500,9000,90028,13
Tenant Application Received,3,30,White,Female,1275,15300,91040,7
Closed Ineligible,3,30,Hispanic,Female,1500,9000,90280, 
Tenant Application Received,1,30,Hispanic,Female,1400,16800,90065,1
Tenant Application Received,5,30,Asian,Male,2200,12400,91406,6
Tenant Pending Final Submission of Documents,4,30,Black,Female,3175,2549,90044,8
Tenant Application Received,3,30,Black,Female,1050,9450,90037,9
Tenant Application Received,1,30,Black,Female,1300,32500,90002,9
Closed Ineligible,1,30,White,Male,4000,24000,90008,10
Tenant Application Received,1,30,Black,Male,2600,23400,90059,15
Tenant Application Received,4,30,Hispanic,Male,1560,12943,90731,15
Tenant Application Received,2,30,White,Male,1633.5,17968.5,91344,12
Tenant Pending Final Submission of Documents,5,30,Hispanic,Female,1120,6720,90011,9
Closed Ineligible,1,50,Hispanic,Male,1000,6000,90005,10
Tenant Pending Final Submission of Documents,1,30,Black,Male,2450,14700,91335,4
Tenant Pending Final Submission of Documents,1,30,Black,Female,6800,26000,90024,5
Tenant Application Received,2,30,White,Female,2500,10720,90044, 
Manager Approval Required,1,30,White,Male,5200,31200,91402,6
Tenant Application Received,3,30,Hispanic,Female,1775,13119.3,91402,6
Application on Hold,5,30,Hispanic,Female,1737,5118,90026,13
Tenant Pending Final Submission of Documents,2,30,Black,Female,1150,850,90019,10
Tenant Pending Final Submission of Documents,1,30,White,Female,2888,17328,90002,15
Tenant Application Received,3,50,Hispanic,Male,1815,8716.1,90023,14
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,950,2850,90044,8
Application on Hold,1,30,Other,Female,1254.42,7526.52,90020,10
Application on Hold,1,30,Hispanic,Male,1028.04,5140.2,90027,13
Tenant Approved: Landlord Final Notification to Respond,2,30,Black,Male,1495,418,90037-3413,8
Tenant Eligibility Under Review,3,30,White,Female,1442,4326,91405,6
Closed Ineligible,2,30,Hispanic,Female,1600,25600,90044, 
Closed Ineligible,, ,Other,,0,0,,
