Status,Family size,AMI,Gender,Monthly Rent,Back Rent Claimed,zip,0,1,,,,,,1
Tenant Application Received,2,30,Male,$0.00 ,"$61,410.00 ",90026,0,1,,66316777.73,,,,66316777.73
Tenant Application Received,3,50,Male,$0.00 ,"$48,000.00 ",,0,1,,,,,,1
Tenant Application Received,4,30,Male,$0.00 ,"$31,500.00 ",91402,0,1,,,,,,1
Tenant Application Received,3,30,Female,$0.00 ,"$25,300.00 ",90027,0,1,,,,,,1
Closed Ineligible,, ,Female,$0.00 ,"$22,950.00 ",,0,1,,,,,,1
Closed Ineligible,1, ,Male,$0.00 ,"$21,708.00 ",90292,0,1,,,,,,1
Closed Ineligible,1,30,Male,$0.00 ,"$18,406.00 ",90046,0,1,,,,,,1
Tenant Application Received,2,30,Male,$0.00 ,"$17,508.00 ",91335,0,1,,,,,,1
Tenant Application Received,1,30,Female,$0.00 ,"$17,399.00 ",90016,0,1,,,,,,1
Tenant Application Received,4,30,Male,$0.00 ,"$16,828.00 ",91367,0,1,,,,,,1
Closed Ineligible,2,30,Female,$0.00 ,"$15,400.00 ",90745,0,1,,,,,,1
Tenant Application Received,2,30,Female,$0.00 ,"$13,620.00 ",90018,0,1,,,,,,1
Tenant Application Received,6,30,Male,$0.00 ,"$13,209.00 ",91352,0,1,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,$0.00 ,"$13,110.00 ",90003,0,1,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$0.00 ,"$12,600.00 ",90007,0,1,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$0.00 ,"$12,500.00 ",90042,0,1,,,,,,1
Landlord Application Submitted Pending Tenant,, ,,$0.00 ,"$12,000.00 ",,0,1,,,,,,1
Closed Ineligible,2,50,Female,$0.00 ,"$11,496.00 ",90061,0,1,,,,,,1
Tenant Application Received,4,30,Female,$0.00 ,"$11,221.00 ",90016,0,1,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Male,$0.00 ,"$10,380.00 ",91607,0,1,,,,,,1
Tenant Application Received,2,30,Female,$0.00 ,"$8,190.00 ",90003,0,1,,,,,,1
Tenant Application Received,6,30,Female,$0.00 ,"$7,700.00 ",90018,0,1,,,,,,1
Closed Ineligible,2, ,Female,$0.00 ,"$2,927.82 ",90247,0,1,,,,,,1
Closed Ineligible,1,30,Female,$0.00 ,"$2,400.00 ",90002,0,1,,,,,,1
Closed Ineligible,1,30,Female,$0.00 ,"$1,250.00 ",90064,0,1,,,,,,1
Tenant Application Received,1,30,Male,$0.00 ,$956.08 ,90017,0,1,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,$0.00 ,$860.00 ,90006,0,1,,,,,,1
Tenant Application Received,1,30,Female,$2.00 ,"$12,000.00 ",91335,0,2,,,,,,1
Closed Ineligible,3,30,Female,$3.50 ,"$17,500.00 ",90715,0,3.5,,,,,,1
Closed Ineligible,3,30,Female,$5.00 ,$10.00 ,93550,10,5,,,,,,1
Tenant Application Received,1,30,Female,$13.00 ,"$4,174.00 ",90013,0,13,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$25.00 ,"$3,500.00 ",90011,0,25,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$25.00 ,"$2,465.00 ",90031,0,25,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Female,$25.00 ,$766.00 ,90017,0,25,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$36.00 ,"$5,933.00 ",90018,0,36,,,,,,1
Closed Ineligible,1,30,Female,$50.00 ,$100.00 ,91750,100,50,,,,,,1
Tenant Application Received,1,30,Female,$52.00 ,"$2,340.00 ",90013,0,52,,,,,,1
Closed Ineligible,2,30,Female,$54.00 ,"$1,840.00 ",90011,0,54,,,,,,1
Tenant Application Received,1,30,Female,$54.00 ,"$1,232.00 ",90026,0,54,,,,,,1
Tenant Application Received,1,30,Male,$56.00 ,"$7,156.00 ",90013,0,56,,,,,,1
Tenant Application Received,1,30,Male,$56.00 ,"$1,796.00 ",90014,0,56,,,,,,1
Tenant Application Received,1,30,Male,$56.00 ,"$1,436.00 ",90013,0,56,,,,,,1
Tenant Application Received,1,30,Male,$56.00 ,$616.00 ,90021,0,56,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$56.00 ,$136.00 ,90021,136,56,,,,,,1
Tenant Application Received,1,30,Female,$56.30 ,"$2,702.40 ",90013,0,56.3,,,,,,1
Tenant Eligibility Under Review,1,30,Female,$57.00 ,"$1,654.00 ",90015,0,57,,,,,,1
Tenant Application Received,1,30,Male,$60.00 ,$780.00 ,90021,0,60,,,,,,1
Tenant Application Received,1,30,Male,$61.00 ,$474.00 ,90014,0,61,,,,,,1
Closed Ineligible,1,30,Female,$63.83 ,"$2,154.83 ",90062,0,63.83,,,,,,1
Tenant Application Received,1,30,Female,$66.00 ,"$2,452.00 ",90029,0,66,,,,,,1
Tenant Application Received,1,30,Male,$66.30 ,$795.60 ,90017,0,66.3,,,,,,1
Tenant Application Received,1,30,Male,$66.30 ,$464.10 ,90017,0,66.3,,,,,,1
Tenant Application Received,1,30,Male,$70.00 ,$910.00 ,90017,0,70,,,,,,1
Closed Ineligible,1,30,Female,$75.00 ,$75.00 ,90059,75,75,,,,,,1
Tenant Application Received,1,30,Female,$76.00 ,"$2,296.00 ",90017,0,76,,,,,,1
Tenant Application Received,2,30,Female,$100.00 ,"$1,300.00 ",91402,0,100,,,,,,1
Tenant Application Received,2,30,Female,$100.00 ,"$1,200.00 ",90029,0,100,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$120.00 ,"$1,250.00 ",90006,0,120,,,,,,1
Tenant Application Received,1,30,Female,$132.00 ,"$9,048.00 ",90013,0,132,,,,,,1
Tenant Pending Initial Submission of Documents,3,30,Male,$132.00 ,"$1,188.00 ",90061,0,132,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,3,30,Male,$138.00 ,$138.00 ,90002,138,138,,,,,,1
Closed Ineligible,3,30,Female,$143.00 ,"$20,379.61 ",90059,0,143,,,,,,1
Closed Ineligible,2,30,Female,$148.00 ,$888.00 ,90059,0,148,,,,,,1
Tenant Application Received,2,30,Female,$149.00 ,"$2,980.00 ",90016,0,149,,,,,,1
Closed Ineligible,3,30,Female,$149.00 ,$894.00 ,93550,0,149,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$150.00 ,$750.00 ,90002,750,150,,,,,,1
Tenant Application Received,1,30,Male,$154.00 ,"$1,686.00 ",91335,0,154,,,,,,1
Tenant Application Received,3,30,Female,$160.00 ,"$2,545.00 ",90003,0,160,,,,,,1
Tenant Application Received,2,30,Female,$162.00 ,"$1,826.00 ",90044,0,162,,,,,,1
Application on Hold,6,30,Female,$165.00 ,$954.00 ,90032,954,165,,,,,,1
Closed Ineligible,2,30,Female,$166.00 ,"$3,750.00 ",90044,0,166,,,,,,1
Tenant Application Received,1,30,Female,$167.00 ,"$1,336.00 ",90061,0,167,,,,,,1
Tenant Application Received,3,30,Female,$168.00 ,"$2,016.00 ",90017,0,168,,,,,,1
Tenant Application Received,4,30,Female,$170.90 ,"$5,297.90 ",90044,0,170.9,,,,,,1
Application on Hold,1,30,Male,$178.00 ,$178.00 ,90018,178,178,,,,,,1
Tenant Application Received,3,30,Female,$181.00 ,"$2,407.00 ",90006,0,181,,,,,,1
Closed Ineligible,3,30,Female,$194.00 ,$317.58 ,90058,317.58,194,,,,,,1
Tenant Application Received,1,30,Male,$197.00 ,"$2,561.00 ",90013,0,197,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$199.00 ,$500.00 ,90026,500,199,,,,,,1
Tenant Application Received,2,30,Male,$200.00 ,"$6,800.00 ",90044,0,200,,,,,,1
Closed Ineligible,4,30,Female,$200.00 ,"$2,000.00 ",90044,0,200,,,,,,1
Tenant Application Received,2,30,Female,$200.00 ,"$1,800.00 ",90047,0,200,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$200.00 ,"$1,400.00 ",90004,0,200,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$203.00 ,"$3,035.00 ",90026,0,203,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$221.00 ,$844.00 ,91367,844,221,,,,,,1
Tenant Application Received,1,30,Male,$222.00 ,"$1,776.00 ",90008,0,222,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Female,$222.00 ,$221.00 ,90015,221,222,,,,,,1
Closed Ineligible,4,30,Female,$223.00 ,$886.00 ,90059,886,223,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,$229.00 ,$229.00 ,90007,229,229,,,,,,1
Tenant Application Received,4,30,Female,$230.00 ,"$7,240.00 ",90003,0,230,,,,,,1
Closed Ineligible,1,30,Female,$233.00 ,"$3,257.00 ",90033,0,233,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$233.00 ,$699.00 ,90019,699,233,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,3,30,Female,$240.00 ,"$1,200.00 ",90044,1200,240,,,,,,1
Tenant Application Received,1,30,Male,$241.00 ,"$1,190.00 ",90037,1190,241,,,,,,1
Tenant Application Received,1,30,Female,$242.00 ,"$1,320.00 ",90011-1254,1320,242,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$247.00 ,"$5,000.00 ",90015,0,247,,,,,,1
Closed Ineligible,1,30,Female,$248.00 ,"$1,203.00 ",90044,1203,248,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,$248.70 ,"$9,000.00 ",90043,0,248.7,,,,,,1
Closed Ineligible,2,30,Female,$250.00 ,"$3,500.00 ",90061,0,250,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Male,$250.00 ,"$1,500.00 ",90006,0,250,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Female,$250.00 ,"$1,500.00 ",90007,0,250,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$250.00 ,$500.00 ,90026,500,250,,,,,,1
Closed Ineligible,1,30,Male,$252.00 ,$504.00 ,90008,504,252,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Female,$255.00 ,"$1,669.00 ",90002,0,255,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$255.00 ,"$1,530.00 ",90013,0,255,,,,,,1
Tenant Application Received,2,30,Female,$257.00 ,"$2,788.00 ",90017,0,257,,,,,,1
Tenant Application Received,4,30,Female,$258.00 ,"$2,850.00 ",90044,0,258,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$258.00 ,"$1,548.00 ",90017,0,258,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$258.00 ,$774.00 ,91342,774,258,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$264.00 ,"$1,107.00 ",90002,1107,264,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$266.00 ,"$1,596.00 ",90044,0,266,,,,,,1
Tenant Application Received,1,30,Female,$267.00 ,"$4,005.00 ",90021,0,267,,,,,,1
Closed Ineligible,4,30,Female,$270.00 ,"$1,620.00 ",90059,0,270,,,,,,1
Closed Ineligible,1,30,Male,$270.00 ,$810.00 ,90037,810,270,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$274.75 ,$274.75 ,90026,274.75,274.75,,,,,,1
Tenant Application Received,3,30,Female,$275.00 ,"$3,468.00 ",90011,0,275,,,,,,1
Closed Ineligible,1,30,Female,$275.00 ,"$1,925.00 ",90063,0,275,,,,,,1
Tenant Application Received,1,30,Male,$275.00 ,"$1,873.00 ",90037,0,275,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$277.00 ,$812.00 ,90017,812,277,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$282.00 ,$150.00 ,90008,150,282,,,,,,1
Tenant Application Received,5,30,Female,$283.00 ,"$2,957.00 ",90016,0,283,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Male,$284.00 ,$307.00 ,90013,307,284,,,,,,1
Application on Hold,1,30,Male,$285.00 ,"$1,710.00 ",90013,0,285,,,,,,1
Closed Ineligible,4,30,Female,$286.00 ,"$1,716.00 ",90059,0,286,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Female,$287.00 ,$574.00 ,90026,574,287,,,,,,1
